trial_num,min_blob_area,mog2_history,mog2_varThreshold,morph_kernel_size,gaussian_ksize,clahe_clip_limit,clahe_tile_grid_size,max_misses,association_threshold,Q,R,seq_8_car_success,seq_8_car_time,seq_8_garden_success,seq_8_garden_time,seq_8_hiding_success,seq_8_hiding_time,seq_8_saturated_success,seq_8_saturated_time,seq_8_crowd_success,seq_8_crowd_time,seq_8_birds_success,seq_8_birds_time,seq_8_depthwise_crossing_success,seq_8_depthwise_crossing_time,seq_8_quadrocopter_success,seq_8_quadrocopter_time,seq_8_selma_success,seq_8_selma_time,seq_8_trees_success,seq_8_trees_time,seq_8_soccer_success,seq_8_soccer_time,target_metric,metric_value,score_to_minimize,processed_seq,errors,frames,time_sec
84,483,787,34.06727,3,3,4.91262,"(8, 8)",10,139.81900,0.10655,133.37728,True,6.16003,True,2.69730,True,0.91615,True,1.95891,True,0.43620,True,1.38331,True,4.18649,True,1.33388,True,1.08239,True,6.62687,True,7.45388,idf1,0.12762,0.87238,,,5717,34.25755
85,452,127,19.89032,7,7,1.33660,"(8, 8)",10,111.32923,0.22036,154.53279,True,22.23935,True,8.70926,True,3.35264,True,4.99914,True,1.43187,True,5.15306,True,13.28728,True,2.75277,True,1.02895,True,2.71441,True,7.32608,idf1,0.07461,0.92539,,,5717,73.01520
86,61,159,93.64387,7,5,4.70344,"(8, 8)",10,127.08285,0.19770,54.43987,True,6.09618,True,2.35867,True,0.93408,True,1.61012,True,0.47477,True,1.40405,True,4.24830,True,1.33664,True,2.65053,True,8.90835,True,20.76549,idf1,0.07451,0.92549,,,5717,50.87192
87,496,780,96.65559,3,3,1.06944,"(16, 16)",2,121.47287,0.18817,23.13296,True,17.91421,True,7.07718,True,2.90723,True,4.45222,True,1.13093,True,3.51980,True,11.61903,True,3.30802,True,2.94642,True,8.86596,True,15.70076,idf1,0.07991,0.92009,,,5717,79.45963
88,499,104,95.80935,7,5,1.89181,"(12, 12)",10,98.39094,0.00012,117.05901,True,5.78307,True,2.06904,True,0.76720,True,1.30785,True,0.38481,True,1.21026,True,3.79397,True,0.96148,True,0.98352,True,2.62235,True,6.95566,idf1,0.04377,0.95623,,,5717,26.85427
89,55,733,97.46520,7,3,1.06066,"(16, 16)",2,132.59996,0.00031,194.00714,True,6.26438,True,2.13853,True,0.96372,True,1.55133,True,0.42097,True,1.37416,True,4.23313,True,1.15458,True,1.06252,True,2.99537,True,7.79732,idf1,0.04147,0.95853,,,5717,29.98452
90,284,107,98.86814,7,5,4.88711,"(12, 12)",10,99.64168,0.09758,53.21311,True,5.79651,True,2.20506,True,0.79010,True,1.36213,True,0.41096,True,1.26839,True,3.90391,True,1.00860,True,1.03238,True,2.67838,True,7.09355,idf1,0.06874,0.93126,,,5717,27.56598
91,381,788,14.11433,7,3,1.33007,"(16, 16)",10,37.32173,0.00298,76.49929,True,6.22153,True,2.49607,True,1.00409,True,1.59186,True,0.40910,True,1.33492,True,4.13603,True,1.38375,True,1.04816,True,2.93322,True,13.57604,idf1,0.05264,0.94736,,,5717,36.23005
92,132,788,10.16071,7,5,4.98364,"(8, 8)",2,110.02042,0.00011,70.58059,True,20.38923,True,12.93360,True,4.93289,True,8.76943,True,1.57584,True,4.72351,True,12.89179,True,8.37104,True,3.20246,True,11.39953,True,23.27295,idf1,0.03023,0.96977,,,5717,112.61940
93,61,106,42.62190,5,5,4.96982,"(12, 12)",3,59.24088,0.00156,22.75565,True,17.25221,True,9.17221,True,3.69869,True,6.51923,True,1.59707,True,4.43963,True,12.29615,True,6.32996,True,3.03958,True,8.34127,True,19.83682,idf1,0.03230,0.96770,,,5717,92.64393
94,468,103,12.37141,7,7,4.89971,"(8, 8)",6,88.88240,0.04266,128.86085,True,30.08342,True,15.03036,True,6.64421,True,7.44511,True,2.13935,True,7.16534,True,21.85406,True,6.93487,True,5.78897,True,15.58236,True,29.68037,idf1,0.04561,0.95439,,,5717,148.40017
95,266,123,92.68050,7,5,1.00629,"(8, 8)",10,118.24549,0.19536,35.19270,True,16.30223,True,5.79985,True,2.24284,True,3.88692,True,1.20245,True,3.48082,True,10.28464,True,2.88029,True,2.64926,True,7.19676,True,16.61800,idf1,0.08547,0.91453,,,5717,72.57113
96,404,775,99.84970,7,5,1.76676,"(8, 8)",10,39.67391,0.14654,38.61985,True,17.56157,True,6.28648,True,2.33536,True,3.69991,True,1.15028,True,3.50401,True,11.35526,True,3.14697,True,2.79179,True,7.89177,True,18.87923,idf1,0.09475,0.90525,,,5717,78.65805
97,493,137,14.26393,7,3,1.60869,"(12, 12)",2,95.74692,0.06140,95.16024,True,8.35574,True,2.17086,True,0.81544,True,1.46176,True,0.39130,True,1.25440,True,3.87144,True,1.20685,True,1.03631,True,2.66674,True,7.35811,idf1,0.04023,0.95977,,,5717,30.60984
98,488,537,92.23506,3,5,4.73937,"(16, 16)",10,140.87312,0.00618,30.54105,True,17.92932,True,8.67156,True,3.73707,True,5.54876,True,1.50614,True,4.38240,True,14.66155,True,3.22670,True,1.97877,True,2.85169,True,10.59745,idf1,0.10639,0.89361,,,5717,75.11914
99,92,114,18.35181,7,3,3.40191,"(8, 8)",10,37.93923,0.00106,18.95760,True,21.38327,True,10.98304,True,3.74900,True,3.10698,True,0.49422,True,1.50665,True,4.07006,True,1.84766,True,1.09178,True,2.84756,True,9.14611,idf1,0.03287,0.96713,,,5717,60.33105
100,472,796,16.92488,3,3,4.93618,"(8, 8)",9,62.08554,0.07124,191.04966,True,18.21377,True,3.17362,True,1.00253,True,2.36249,True,0.43588,True,1.54919,True,6.50617,True,7.03606,True,3.96079,True,10.14982,True,7.73007,idf1,0.06790,0.93210,,,5717,62.14892
